test_id,sol_id,q1_test_deg,q2_test_deg,q3_test_deg,q4_test_deg,q5_test_deg,q6_test_deg,q1_sol_deg,q2_sol_deg,q3_sol_deg,q4_sol_deg,q5_sol_deg,q6_sol_deg,pos_err_mm,ang_err_deg,dq_norm_deg,wrist_singular_flag
14,4,0,-60,40,-349,10,0,0,-22.24144185,-46.14292423,-177.7662937,-58.22374753,-170.3398366,4.592217417e-13,0,268.0250622,0
15,1,0,-60,40,0,119,0,0,-60,40,0,119,0,6.431098711e-13,0,2.544443745e-14,0
15,2,0,-60,40,0,119,0,0,-60,40,-180,-119,-180,6.485459386e-13,0,282.2835454,0
16,1,0,-60,40,0,-119,0,0,-60,40,0,-119,0,5.084229946e-13,0,2.544443745e-14,0
16,2,0,-60,40,0,-119,0,0,-22.24144185,-46.14292423,0,-70.61563391,0,8.198074455e-13,1.20741827e-06,105.7703124,0
16,3,0,-60,40,0,-119,0,0,-60,40,-180,119,-180,5.088846261e-13,0,282.2835454,0
16,4,0,-60,40,0,-119,0,0,-22.24144185,-46.14292423,-180,70.61563391,-180,6.431841436e-13,0,320.4327454,0
17,1,0,-60,40,0,10,349,0,-60,40,-2.544443745e-14,10,-11,4.5529691e-13,1.20741827e-06,6.232588855e-14,0
17,2,0,-60,40,0,10,349,0,-22.24144185,-46.14292423,0,58.38436609,-11,6.431098711e-13,1.20741827e-06,105.7703124,0
17,3,0,-60,40,0,10,349,0,-60,40,-180,-10,169,4.547968029e-13,1.20741827e-06,255.3429067,0
17,4,0,-60,40,0,10,349,0,-22.24144185,-46.14292423,-180,-58.38436609,169,6.448353174e-13,1.20741827e-06,279.8619903,0
18,1,0,-60,40,0,10,-349,0,-60,40,-2.544443745e-14,10,11,4.5529691e-13,0,3.598386853e-14,0
18,2,0,-60,40,0,10,-349,0,-22.24144185,-46.14292423,0,58.38436609,11,6.431098711e-13,1.20741827e-06,105.7703124,0
18,3,0,-60,40,0,10,-349,0,-60,40,-180,-10,-169,4.547968029e-13,0,255.3429067,0
18,4,0,-60,40,0,10,-349,0,-22.24144185,-46.14292423,-180,-58.38436609,-169,6.448353174e-13,1.20741827e-06,279.8619903,0
